Hybridization REF	GSM115896	GSM115897	GSM115898	GSM115899	GSM115900	GSM115901
Affymetrix:CompositeSequence:Mouse430A_2:1415785_a_at	44711.3	55555.1	35550.1	47032.2	27816.6	33167.5
Affymetrix:CompositeSequence:Mouse430A_2:1415786_at	1323.5	675.1	1690.3	1302.1	1690.8	1256.1
Affymetrix:CompositeSequence:Mouse430A_2:1415787_at	4628.8	3991.4	3942.1	2653.7	5590.8	4271.4
Affymetrix:CompositeSequence:Mouse430A_2:1415788_at	3155.9	5787.1	6491.4	7795.6	8527.3	19381.6
Affymetrix:CompositeSequence:Mouse430A_2:1415789_a_at	807.7	335.3	1935.6	2210.6	101.1	1598.5
Affymetrix:CompositeSequence:Mouse430A_2:1415790_at	151.9	184.4	3081.2	1514.7	2688.7	5441.1
Affymetrix:CompositeSequence:Mouse430A_2:1415791_at	1840.5	3877.4	1286.7	3113.5	3276.6	2076.6
Affymetrix:CompositeSequence:Mouse430A_2:1415792_at	2934.9	4449.1	1575.6	4126.6	564.4	3228.3
Affymetrix:CompositeSequence:Mouse430A_2:1415793_at	2831.8	1138.6	746.1	2076.8	59.5	63.9
Affymetrix:CompositeSequence:Mouse430A_2:1415794_a_at	13925.4	13506.1	5386.9	10100.4	23163.8	23561.5
Affymetrix:CompositeSequence:Mouse430A_2:1415795_at	6080.5	4082.6	15957.9	3883.3	2593.1	4490.4
Affymetrix:CompositeSequence:Mouse430A_2:1415796_at	8983.5	10649.9	5856.2	5604.6	9077.4	8037.2
Affymetrix:CompositeSequence:Mouse430A_2:1415797_at	1493.4	234.5	3500	500.5	1199.2	3313.3
Affymetrix:CompositeSequence:Mouse430A_2:1415798_at	516.8	974.5	299.5	269.3	2138.9	2068.7
Affymetrix:CompositeSequence:Mouse430A_2:1415799_at	1778	4265.5	2558	3739.5	1481.9	1541.4
Affymetrix:CompositeSequence:Mouse430A_2:1415800_at	13.1	66.9	1209.4	573.8	822.8	30.9
Affymetrix:CompositeSequence:Mouse430A_2:1415801_at	806.8	1504.5	1410.6	586	102.7	736.6
Affymetrix:CompositeSequence:Mouse430A_2:1415802_at	2576.2	1503.3	1689.1	896.5	2193.1	97
Affymetrix:CompositeSequence:Mouse430A_2:1415803_at	51.1	40.5	97.6	191.7	237.9	64.7
Affymetrix:CompositeSequence:Mouse430A_2:1415804_at	89.3	218.3	103.7	271	393.9	337.7
Affymetrix:CompositeSequence:Mouse430A_2:1415805_at	1717.1	310.6	283.3	1939.3	292.6	1212.3
Affymetrix:CompositeSequence:Mouse430A_2:1415806_at	67.5	44.8	1873.5	624.5	1007.2	159.3
Affymetrix:CompositeSequence:Mouse430A_2:1415807_s_at	3405.5	2368.9	2493.3	3105.7	1956.8	1306.5
Affymetrix:CompositeSequence:Mouse430A_2:1415808_at	1019.9	542.2	294.2	925.8	1350.7	43.6
Affymetrix:CompositeSequence:Mouse430A_2:1415809_at	389.2	250.3	468	513.2	322.5	407.8
Affymetrix:CompositeSequence:Mouse430A_2:1415810_at	700.6	606.9	186.4	672.7	531.9	293.3
Affymetrix:CompositeSequence:Mouse430A_2:1415811_at	1093.6	2483.9	1604	2589.3	222.5	2750.3
Affymetrix:CompositeSequence:Mouse430A_2:1415812_at	113.9	1823	1604	1186.6	1903.7	1774.1
Affymetrix:CompositeSequence:Mouse430A_2:1415813_at	14090	9366.8	8806	11223.6	4634.6	6230.4
Affymetrix:CompositeSequence:Mouse430A_2:1415814_at	8152	6246.9	2480.2	7074.1	7197.7	6361.3
Affymetrix:CompositeSequence:Mouse430A_2:1415815_at	59.7	509.3	220.2	178.7	618.1	1440
Affymetrix:CompositeSequence:Mouse430A_2:1415816_at	63867.3	44815.6	65216.4	34854.9	35283.3	45447.4
Affymetrix:CompositeSequence:Mouse430A_2:1415817_s_at	12065.4	7914.7	11273.5	9345.1	4645.4	8604.4
Affymetrix:CompositeSequence:Mouse430A_2:1415818_at	8985	6466.4	690.9	1097.7	4622.1	2329.5
Affymetrix:CompositeSequence:Mouse430A_2:1415819_a_at	5450.6	3863.9	5531.3	6629.1	9267	7663.6
Affymetrix:CompositeSequence:Mouse430A_2:1415820_x_at	19589.4	22413.3	10447.4	24710.2	19732.8	13052.4
Affymetrix:CompositeSequence:Mouse430A_2:1415821_at	4921.7	6312.9	5595.9	2423.9	3097.7	5148.2
Affymetrix:CompositeSequence:Mouse430A_2:1415822_at	1914.4	1167.1	1817.7	1023.2	1692.8	2165.3
Affymetrix:CompositeSequence:Mouse430A_2:1415823_at	48.8	408.3	508.6	27.7	264	68.2
Affymetrix:CompositeSequence:Mouse430A_2:1415824_at	776.6	205.4	953.2	117	104.9	393
Affymetrix:CompositeSequence:Mouse430A_2:1415825_s_at	924.1	497.6	1843.1	453.4	651.7	580.4
Affymetrix:CompositeSequence:Mouse430A_2:1415826_at	8627.4	5687.5	3002.8	4723.1	7982.7	3979.4
Affymetrix:CompositeSequence:Mouse430A_2:1415827_a_at	11841	13847.3	20050.6	30195.7	28574.4	53161.3
Affymetrix:CompositeSequence:Mouse430A_2:1415828_a_at	6735.9	13516.2	11674.6	17769.9	22190.7	20658.3
Affymetrix:CompositeSequence:Mouse430A_2:1415829_at	22032.8	13502.5	9368.3	12813.3	8681.5	6849.5
Affymetrix:CompositeSequence:Mouse430A_2:1415830_at	14166.6	9244.5	4194.2	3640.2	8528.1	2431.8
Affymetrix:CompositeSequence:Mouse430A_2:1415831_at	13608.1	8648.9	12141.6	9833	8757.1	5625.4
